class,comment_text
0.0,"Just don't let the Union touch  penny !!! Then it becomes money down he drain..... Jay Shidler is trying to help a bloated and bureaucratic university with hard earned money, something the UH Administration, nor the Legislature knows NOTHING about !!!
"
0.0,"""""Our best versus their best...,"""" says Gibbons, whose team blew a big lead, and won only because Betances did another melt-down, walking four of five batters faced, including two with four pitches.  Maybe Gibbons believes that the four Yankee starters on the DL are not among the best, but Castro & Holliday alone are so far superior to the BJ's rubby dubs, I think he ought to go back to his dugout napping and leave the insights to others. Hicks is a pretty good OF, too, while Bird's injury has let to NYY having ten different 1B this season.  And Estrada's vulnerability is back in play, after only a couple of decent outings to remind us of how good he was in 2016. Thank heaven for Pineda's inconsistency, too.
"
0.0,"Which is why I am suspicious that this is about boys wanting to be girls and think that it is about good old fashioned sexism.
"
0.0,"I don't believe """"cis"""" and """"trans"""" have substantive content. I do not believe that a male, with male anatomy from head to toe, is a """"woman"""" simply having stated that he identifies as such. I also do not believe that genital mutilation surgery makes a male any more of a woman or vice versa. I simply do not believe it. The scientific community is divided on whether 'transgender' identity issues are rooted in mental illness or not, and of course the sociological and philosophical worlds are sharply divided between postmodernists and realists, the former believing that things like """"man"""" and """"woman"""" are """"social constructs"""" while the latter tend to believe - in my opinion with far greater evidence - that gender identity and biological sex do not vary randomly but in fact tend to match overwhelmingly, with extremely rare exceptions. There is no 'spectrum'.  Long story short I do not believe these new """"identities"""" are legitimate. That is my opinion. Will the law FORCE me to say otherwise now?
"
0.0,"She won the popular vote - by three million. Why should she just forget and move on? Why should we? Why are you so invested a year later that you write dozens of comments about her if she is so insignificant? She obviously means  a lot to you. She has a valid commentary to make. Her input is important, regardless of what you and others may think. Try as much as you like, but her presence and value to history as the first female Presidential candidate is indelibly set. Why do you want to hush her voice and, by extension, mine? And I don't think she is taking up all the oxygen in the room, either.  Maybe she should try a realty show like Sarah Palin. I might have voted for McCain (maybe) if he hadn't picked the whack job from Alaska as his running mate. But she has certainly benefited financially from that campaign, hasn't she? And she wasn't even as qualified as Hillary Clinton.
"
0.0,"Some day you'll learn to deal with your own sexuality and figure out what you really are. Then none of this will be a problem for you.
"
0.0,"Too true. The issue of male suicide is simply ignored by the media.
"
0.0,"I can hook U up with primo tix, flights and digs no prob.  Got me  a contact or 17  way  down under. Good blokes and they will drink you under 25 tables..  Just say the word and it's all on me.  But I gotta warn you, my buds swear a lot....HARDCORE!!!
"
0.0,"I recall gold items being sold in Edinburgh as being gold mined in Scotland.  While in principle one can identify sources through trace contaminants, for the quantities involved few would be willing to pay the premium other than for sentimental reasons.
"
0.0,"Perhaps you might follow your own advice with respect to history, & check, what is SS Disability or Supplemental Security Income?
"
0.0,"Absolutely, because all the recent terror incidents in the US are directly attributable to new immigrants.
"
0.0,"He did drop the chance to stop PRP and racketeering, and that is really sad. Hopefully the Feds will pick that up again and save the people from this. Their damage could be larger than the Kealoha scandal once the dirt hits the fan.
"
0.0,"No, he was meeting with the Russians to decide whether to release the tax returns ;)
"
0.0,"Read my comment Doug  - You'll learn something.
"
